event_type,height,tx_hash,attributes
message,3630310,5E204F78D3F1AB3AB5C75E56EC3B422CA8E8FA077536D8E15A84D49243FFD837,"[{""key"": ""module"", ""value"": ""wasm""}, {""key"": ""sender"", ""value"": ""stars1z4ecae6w247fxa2j6ganwzwuja7zgw03yfkhcp""}]"
execute,3630310,5E204F78D3F1AB3AB5C75E56EC3B422CA8E8FA077536D8E15A84D49243FFD837,"[{""key"": ""_contract_address"", ""value"": ""stars120zjnnpca5p42pc5f5fqaj923q8cu9ekr2duw25fd8f9p4gzrhcsy6g44z""}]"
wasm,3630310,5E204F78D3F1AB3AB5C75E56EC3B422CA8E8FA077536D8E15A84D49243FFD837,"[{""key"": ""_contract_address"", ""value"": ""stars120zjnnpca5p42pc5f5fqaj923q8cu9ekr2duw25fd8f9p4gzrhcsy6g44z""}, {""key"": ""action"", ""value"": ""burn""}, {""key"": ""sender"", ""value"": ""stars1z4ecae6w247fxa2j6ganwzwuja7zgw03yfkhcp""}, {""key"": ""token_id"", ""value"": ""4410""}]"
tx,3630310,4A8B4D76D6F88EEA4A9366ED1C982D9B4A3531578958DAA6D5040332DB07F90F,"[{""key"": ""fee"", ""value"": ""0ustars""}]"
tx,3630310,4A8B4D76D6F88EEA4A9366ED1C982D9B4A3531578958DAA6D5040332DB07F90F,"[{""key"": ""acc_seq"", ""value"": ""stars1dzf8ta0qvvqvca55ynqnazgwflq76r5jase5nx/90""}]"
tx,3630310,4A8B4D76D6F88EEA4A9366ED1C982D9B4A3531578958DAA6D5040332DB07F90F,"[{""key"": ""signature"", ""value"": ""RaJahmPIztALaSjLZTnDKSLIfUp8KIKXUqFawQfcPQFtFafXOHBbTw1irzI5n7vuxVX85ssosF0OGt8JDsrPnw==""}]"
message,3630310,4A8B4D76D6F88EEA4A9366ED1C982D9B4A3531578958DAA6D5040332DB07F90F,"[{""key"": ""action"", ""value"": ""/cosmwasm.wasm.v1.MsgExecuteContract""}]"
message,3630310,4A8B4D76D6F88EEA4A9366ED1C982D9B4A3531578958DAA6D5040332DB07F90F,"[{""key"": ""module"", ""value"": ""wasm""}, {""key"": ""sender"", ""value"": ""stars1dzf8ta0qvvqvca55ynqnazgwflq76r5jase5nx""}]"
execute,3630310,4A8B4D76D6F88EEA4A9366ED1C982D9B4A3531578958DAA6D5040332DB07F90F,"[{""key"": ""_contract_address"", ""value"": ""stars14sa4u42n2a8kmlvj3qcergjhy6g9ps06rzeth94f2y6grlat6u6sv9y4pd""}]"
wasm,3630310,4A8B4D76D6F88EEA4A9366ED1C982D9B4A3531578958DAA6D5040332DB07F90F,"[{""key"": ""_contract_address"", ""value"": ""stars14sa4u42n2a8kmlvj3qcergjhy6g9ps06rzeth94f2y6grlat6u6sv9y4pd""}, {""key"": ""action"", ""value"": ""approve""}, {""key"": ""sender"", ""value"": ""stars1dzf8ta0qvvqvca55ynqnazgwflq76r5jase5nx""}, {""key"": ""spender"", ""value"": ""stars1fvhcnyddukcqfnt7nlwv3thm5we22lyxyxylr9h77cvgkcn43xfsvgv0pl""}, {""key"": ""token_id"", ""value"": ""4022""}]"
